db,test,time_s,throughput_pts_s,avg_lat_ms,p99_lat_ms,avg_cpu_pct,peak_cpu_pct,avg_mem_mb,peak_mem_mb
INFLUXDB,BATCH-SMALL,19.35,5168.85,9.12,14.74,2.5,4.3,118.9,125.5
INFLUXDB,BATCH-LARGE,45.58,2193904.61,22.00,205.07,22.0,32.7,596.7,926.0
INFLUXDB,OUT-OF-ORDER,36.66,272760.59,17.72,45.44,5.9,13.6,318.8,925.0
INFLUXDB,WRITE,22.76,439381.68,10.81,39.77,6.3,18.2,253.2,320.7
INFLUXDB,READ,28.98,3618.15,28.22,269.51,41.7,52.1,305.3,318.0
INFLUXDB,LATEST-POINT,12.12,412.43,10.85,19.67,34.1,51.3,301.1,313.8
INFLUXDB,DOWNSAMPLE,8.10,8021.25,6.85,14.36,25.6,47.2,292.6,297.8
INFLUXDB,RANGE-QUERY,7.75,31606.13,6.50,14.36,23.9,44.4,291.6,292.9
INFLUXDB,VALUE-FILTER,92.24,936.26,89.85,341.34,46.4,53.8,316.7,328.9
TIMESCALEDB,BATCH-SMALL,22.45,4454.53,10.67,15.96,2.3,3.4,5443.3,5446.7
TIMESCALEDB,BATCH-LARGE,622.87,160546.88,302.36,1069.12,31.4,39.5,5474.6,5496.8
TIMESCALEDB,OUT-OF-ORDER,75.65,132189.13,36.52,250.11,21.8,32.5,5478.6,5494.8
TIMESCALEDB,WRITE,74.81,133677.05,36.05,246.52,23.8,33.9,5516.7,5534.7
TIMESCALEDB,READ,13.45,7945.08,12.96,275.42,57.3,83.6,5545.3,5560.3
TIMESCALEDB,LATEST-POINT,1.61,3102.08,0.50,1.59,7.4,14.9,5519.4,5519.4
TIMESCALEDB,DOWNSAMPLE,1.83,35454.63,0.72,1.84,6.9,20.8,5523.8,5532.7
TIMESCALEDB,RANGE-QUERY,1.73,144191.68,0.64,1.66,6.4,19.2,5523.5,5531.6
TIMESCALEDB,VALUE-FILTER,40.81,2157.80,40.12,251.06,74.8,90.3,5552.9,5561.3
IOTDB,BATCH-SMALL,4.12,24268.33,1.54,1.19,0.3,0.7,12469.4,12482.6
IOTDB,BATCH-LARGE,7.20,13897642.72,2.91,9.99,6.6,36.9,12513.3,12533.8
IOTDB,OUT-OF-ORDER,5.22,1917405.53,2.02,2.73,1.9,10.3,12544.0,12564.5
IOTDB,WRITE,4.69,2130911.33,1.77,1.99,0.8,3.8,12573.3,12574.7
IOTDB,READ,3.47,29649.05,2.26,20.46,15.2,28.2,12554.2,12574.7
IOTDB,LATEST-POINT,1.91,2617.04,0.78,2.81,5.1,14.8,12550.8,12554.2
IOTDB,DOWNSAMPLE,2.19,29697.05,1.07,3.01,4.8,13.8,12554.2,12554.2
IOTDB,RANGE-QUERY,2.48,100916.37,1.35,3.81,5.1,14.3,12554.2,12554.2
IOTDB,VALUE-FILTER,5.03,17504.97,3.79,14.22,17.4,42.3,12556.8,12564.5
